travelCode,userCode,name_x,place,days,price,total,date,code,company,name_y,gender,age
219,2,Hotel A,Florianopolis (SC),2,313.02,626.04,02/10/2022,2,4You,Wilma Mcinnis,female,48
221,2,Hotel K,Salvador (BH),1,263.41,263.41,02/24/2022,2,4You,Wilma Mcinnis,female,48
224,2,Hotel BP,Brasilia (DF),3,247.62,742.86,03/17/2022,2,4You,Wilma Mcinnis,female,48
225,2,Hotel BD,Natal (RN),4,242.88,971.52,03/24/2022,2,4You,Wilma Mcinnis,female,48
233,3,Hotel A,Florianopolis (SC),2,313.02,626.04,11/14/2019,3,4You,Paula Daniel,female,23
235,3,Hotel A,Florianopolis (SC),3,313.02,939.06,11/28/2019,3,4You,Paula Daniel,female,23
238,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/19/2019,3,4You,Paula Daniel,female,23
239,3,Hotel A,Florianopolis (SC),2,313.02,626.04,12/26/2019,3,4You,Paula Daniel,female,23
240,3,Hotel BP,Brasilia (DF),4,247.62,990.48,01/02/2020,3,4You,Paula Daniel,female,23
241,3,Hotel A,Florianopolis (SC),1,313.02,313.02,01/09/2020,3,4You,Paula Daniel,female,23
243,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,01/23/2020,3,4You,Paula Daniel,female,23
244,3,Hotel AU,Recife (PE),4,312.83,1251.32,01/30/2020,3,4You,Paula Daniel,female,23
246,3,Hotel AU,Recife (PE),2,312.83,625.66,02/13/2020,3,4You,Paula Daniel,female,23
248,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,02/27/2020,3,4You,Paula Daniel,female,23
255,3,Hotel A,Florianopolis (SC),1,313.02,313.02,04/16/2020,3,4You,Paula Daniel,female,23
259,3,Hotel BD,Natal (RN),2,242.88,485.76,05/14/2020,3,4You,Paula Daniel,female,23
263,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,06/11/2020,3,4You,Paula Daniel,female,23
269,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,07/23/2020,3,4You,Paula Daniel,female,23
275,3,Hotel BD,Natal (RN),2,242.88,485.76,09/03/2020,3,4You,Paula Daniel,female,23
279,3,Hotel BD,Natal (RN),1,242.88,242.88,10/01/2020,3,4You,Paula Daniel,female,23
283,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/29/2020,3,4You,Paula Daniel,female,23
287,3,Hotel AU,Recife (PE),1,312.83,312.83,11/26/2020,3,4You,Paula Daniel,female,23
290,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,12/17/2020,3,4You,Paula Daniel,female,23
291,3,Hotel K,Salvador (BH),1,263.41,263.41,12/24/2020,3,4You,Paula Daniel,female,23
295,3,Hotel BD,Natal (RN),4,242.88,971.52,01/21/2021,3,4You,Paula Daniel,female,23
296,3,Hotel AU,Recife (PE),3,312.83,938.49,01/28/2021,3,4You,Paula Daniel,female,23
299,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/18/2021,3,4You,Paula Daniel,female,23
300,3,Hotel K,Salvador (BH),3,263.41,790.23,02/25/2021,3,4You,Paula Daniel,female,23
303,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,03/18/2021,3,4You,Paula Daniel,female,23
305,3,Hotel BD,Natal (RN),4,242.88,971.52,04/01/2021,3,4You,Paula Daniel,female,23
306,3,Hotel A,Florianopolis (SC),3,313.02,939.06,04/08/2021,3,4You,Paula Daniel,female,23
307,3,Hotel BD,Natal (RN),2,242.88,485.76,04/15/2021,3,4You,Paula Daniel,female,23
311,3,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/13/2021,3,4You,Paula Daniel,female,23
315,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,06/10/2021,3,4You,Paula Daniel,female,23
322,3,Hotel BD,Natal (RN),1,242.88,242.88,07/29/2021,3,4You,Paula Daniel,female,23
325,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,08/19/2021,3,4You,Paula Daniel,female,23
337,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,11/11/2021,3,4You,Paula Daniel,female,23
338,3,Hotel Z,Aracaju (SE),3,208.04,624.12,11/18/2021,3,4You,Paula Daniel,female,23
347,3,Hotel BP,Brasilia (DF),1,247.62,247.62,01/20/2022,3,4You,Paula Daniel,female,23
350,3,Hotel BD,Natal (RN),1,242.88,242.88,02/10/2022,3,4You,Paula Daniel,female,23
363,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,05/12/2022,3,4You,Paula Daniel,female,23
369,3,Hotel AU,Recife (PE),3,312.83,938.49,06/23/2022,3,4You,Paula Daniel,female,23
373,3,Hotel BW,Campo Grande (MS),4,60.39,241.56,07/21/2022,3,4You,Paula Daniel,female,23
377,3,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/18/2022,3,4You,Paula Daniel,female,23
382,3,Hotel K,Salvador (BH),2,263.41,526.82,09/22/2022,3,4You,Paula Daniel,female,23
383,3,Hotel A,Florianopolis (SC),2,313.02,626.04,09/29/2022,3,4You,Paula Daniel,female,23
385,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/13/2022,3,4You,Paula Daniel,female,23
387,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/27/2022,3,4You,Paula Daniel,female,23
388,3,Hotel BD,Natal (RN),4,242.88,971.52,11/03/2022,3,4You,Paula Daniel,female,23
394,3,Hotel K,Salvador (BH),4,263.41,1053.64,12/15/2022,3,4You,Paula Daniel,female,23
397,3,Hotel AU,Recife (PE),4,312.83,1251.32,01/05/2023,3,4You,Paula Daniel,female,23
398,3,Hotel BW,Campo Grande (MS),4,60.39,241.56,01/12/2023,3,4You,Paula Daniel,female,23
403,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/16/2023,3,4You,Paula Daniel,female,23
404,3,Hotel Z,Aracaju (SE),1,208.04,208.04,02/23/2023,3,4You,Paula Daniel,female,23
406,3,Hotel BD,Natal (RN),2,242.88,485.76,03/09/2023,3,4You,Paula Daniel,female,23
408,3,Hotel K,Salvador (BH),1,263.41,263.41,03/23/2023,3,4You,Paula Daniel,female,23
409,3,Hotel K,Salvador (BH),3,263.41,790.23,03/30/2023,3,4You,Paula Daniel,female,23
410,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,04/06/2023,3,4You,Paula Daniel,female,23
412,3,Hotel A,Florianopolis (SC),2,313.02,626.04,04/20/2023,3,4You,Paula Daniel,female,23
415,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,05/11/2023,3,4You,Paula Daniel,female,23
417,3,Hotel BD,Natal (RN),2,242.88,485.76,05/25/2023,3,4You,Paula Daniel,female,23
418,3,Hotel AU,Recife (PE),1,312.83,312.83,06/01/2023,3,4You,Paula Daniel,female,23
419,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,06/08/2023,3,4You,Paula Daniel,female,23
424,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/13/2023,3,4You,Paula Daniel,female,23
426,4,Hotel AU,Recife (PE),2,312.83,625.66,10/03/2019,4,4You,Patricia Carson,female,44
431,4,Hotel AU,Recife (PE),4,312.83,1251.32,11/07/2019,4,4You,Patricia Carson,female,44
432,4,Hotel AU,Recife (PE),3,312.83,938.49,11/14/2019,4,4You,Patricia Carson,female,44
440,4,Hotel K,Salvador (BH),3,263.41,790.23,01/09/2020,4,4You,Patricia Carson,female,44
442,4,Hotel Z,Aracaju (SE),2,208.04,416.08,01/23/2020,4,4You,Patricia Carson,female,44
445,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,02/13/2020,4,4You,Patricia Carson,female,44
447,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2,02/27/2020,4,4You,Patricia Carson,female,44
450,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,03/19/2020,4,4You,Patricia Carson,female,44
452,4,Hotel A,Florianopolis (SC),1,313.02,313.02,04/02/2020,4,4You,Patricia Carson,female,44
456,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,04/30/2020,4,4You,Patricia Carson,female,44
457,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,05/07/2020,4,4You,Patricia Carson,female,44
468,4,Hotel Z,Aracaju (SE),1,208.04,208.04,07/23/2020,4,4You,Patricia Carson,female,44
473,4,Hotel AF,Sao Paulo (SP),4,139.1,556.4,08/27/2020,4,4You,Patricia Carson,female,44
481,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,10/22/2020,4,4You,Patricia Carson,female,44
486,4,Hotel Z,Aracaju (SE),4,208.04,832.16,11/26/2020,4,4You,Patricia Carson,female,44
490,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/24/2020,4,4You,Patricia Carson,female,44
491,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,12/31/2020,4,4You,Patricia Carson,female,44
494,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2,01/21/2021,4,4You,Patricia Carson,female,44
498,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,02/18/2021,4,4You,Patricia Carson,female,44
500,4,Hotel K,Salvador (BH),2,263.41,526.82,03/04/2021,4,4You,Patricia Carson,female,44
501,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,03/11/2021,4,4You,Patricia Carson,female,44
503,4,Hotel A,Florianopolis (SC),2,313.02,626.04,03/25/2021,4,4You,Patricia Carson,female,44
505,4,Hotel A,Florianopolis (SC),2,313.02,626.04,04/08/2021,4,4You,Patricia Carson,female,44
514,4,Hotel AU,Recife (PE),3,312.83,938.49,06/10/2021,4,4You,Patricia Carson,female,44
517,4,Hotel BD,Natal (RN),4,242.88,971.52,07/01/2021,4,4You,Patricia Carson,female,44
529,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,09/23/2021,4,4You,Patricia Carson,female,44
532,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/14/2021,4,4You,Patricia Carson,female,44
537,4,Hotel AU,Recife (PE),3,312.83,938.49,11/18/2021,4,4You,Patricia Carson,female,44
541,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,12/16/2021,4,4You,Patricia Carson,female,44
543,4,Hotel BW,Campo Grande (MS),3,60.39,181.17,12/30/2021,4,4You,Patricia Carson,female,44
545,4,Hotel BW,Campo Grande (MS),1,60.39,60.39,01/13/2022,4,4You,Patricia Carson,female,44
548,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,02/03/2022,4,4You,Patricia Carson,female,44
555,4,Hotel A,Florianopolis (SC),1,313.02,313.02,03/24/2022,4,4You,Patricia Carson,female,44
556,4,Hotel K,Salvador (BH),3,263.41,790.23,03/31/2022,4,4You,Patricia Carson,female,44
557,4,Hotel K,Salvador (BH),1,263.41,263.41,04/07/2022,4,4You,Patricia Carson,female,44
559,4,Hotel K,Salvador (BH),2,263.41,526.82,04/21/2022,4,4You,Patricia Carson,female,44
562,4,Hotel BD,Natal (RN),2,242.88,485.76,05/12/2022,4,4You,Patricia Carson,female,44
564,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,05/26/2022,4,4You,Patricia Carson,female,44
565,4,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06/02/2022,4,4You,Patricia Carson,female,44
574,4,Hotel BP,Brasilia (DF),4,247.62,990.48,08/04/2022,4,4You,Patricia Carson,female,44
578,4,Hotel Z,Aracaju (SE),3,208.04,624.12,09/01/2022,4,4You,Patricia Carson,female,44
581,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,09/22/2022,4,4You,Patricia Carson,female,44
582,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,09/29/2022,4,4You,Patricia Carson,female,44
586,4,Hotel K,Salvador (BH),2,263.41,526.82,10/27/2022,4,4You,Patricia Carson,female,44
587,4,Hotel K,Salvador (BH),1,263.41,263.41,11/03/2022,4,4You,Patricia Carson,female,44
588,4,Hotel BD,Natal (RN),2,242.88,485.76,11/10/2022,4,4You,Patricia Carson,female,44
590,4,Hotel AU,Recife (PE),2,312.83,625.66,11/24/2022,4,4You,Patricia Carson,female,44
591,4,Hotel AU,Recife (PE),4,312.83,1251.32,12/01/2022,4,4You,Patricia Carson,female,44
596,4,Hotel BP,Brasilia (DF),1,247.62,247.62,01/05/2023,4,4You,Patricia Carson,female,44
598,4,Hotel BD,Natal (RN),4,242.88,971.52,01/19/2023,4,4You,Patricia Carson,female,44
604,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,03/02/2023,4,4You,Patricia Carson,female,44
605,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,03/09/2023,4,4You,Patricia Carson,female,44
609,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/06/2023,4,4You,Patricia Carson,female,44
619,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,06/15/2023,4,4You,Patricia Carson,female,44
621,4,Hotel BP,Brasilia (DF),4,247.62,990.48,06/29/2023,4,4You,Patricia Carson,female,44
623,4,Hotel BD,Natal (RN),4,242.88,971.52,07/13/2023,4,4You,Patricia Carson,female,44
624,5,Hotel K,Salvador (BH),2,263.41,526.82,09/26/2019,5,4You,Trina Thomas,none,47
638,5,Hotel K,Salvador (BH),1,263.41,263.41,01/02/2020,5,4You,Trina Thomas,none,47
643,5,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/06/2020,5,4You,Trina Thomas,none,47
644,5,Hotel K,Salvador (BH),1,263.41,263.41,02/13/2020,5,4You,Trina Thomas,none,47
646,5,Hotel K,Salvador (BH),3,263.41,790.23,02/27/2020,5,4You,Trina Thomas,none,47
648,5,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,03/12/2020,5,4You,Trina Thomas,none,47
658,5,Hotel BD,Natal (RN),1,242.88,242.88,05/21/2020,5,4You,Trina Thomas,none,47
668,5,Hotel BW,Campo Grande (MS),1,60.39,60.39,07/30/2020,5,4You,Trina Thomas,none,47
670,5,Hotel K,Salvador (BH),3,263.41,790.23,08/13/2020,5,4You,Trina Thomas,none,47
676,5,Hotel A,Florianopolis (SC),4,313.02,1252.08,09/24/2020,5,4You,Trina Thomas,none,47
680,5,Hotel AF,Sao Paulo (SP),2,139.1,278.2,10/22/2020,5,4You,Trina Thomas,none,47
683,5,Hotel AF,Sao Paulo (SP),1,139.1,139.1,11/12/2020,5,4You,Trina Thomas,none,47
687,5,Hotel Z,Aracaju (SE),1,208.04,208.04,12/10/2020,5,4You,Trina Thomas,none,47
688,6,Hotel BD,Natal (RN),3,242.88,728.64,09/26/2019,6,4You,Jesse Decelle,male,46
690,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/10/2019,6,4You,Jesse Decelle,male,46
695,6,Hotel A,Florianopolis (SC),2,313.02,626.04,11/14/2019,6,4You,Jesse Decelle,male,46
696,6,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/21/2019,6,4You,Jesse Decelle,male,46
698,6,Hotel AU,Recife (PE),1,312.83,312.83,12/05/2019,6,4You,Jesse Decelle,male,46
699,6,Hotel BW,Campo Grande (MS),4,60.39,241.56,12/12/2019,6,4You,Jesse Decelle,male,46
701,6,Hotel BP,Brasilia (DF),4,247.62,990.48,12/26/2019,6,4You,Jesse Decelle,male,46
707,6,Hotel A,Florianopolis (SC),2,313.02,626.04,02/06/2020,6,4You,Jesse Decelle,male,46
711,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1,03/05/2020,6,4You,Jesse Decelle,male,46
712,6,Hotel A,Florianopolis (SC),4,313.02,1252.08,03/12/2020,6,4You,Jesse Decelle,male,46
718,6,Hotel K,Salvador (BH),4,263.41,1053.64,04/23/2020,6,4You,Jesse Decelle,male,46
719,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1,04/30/2020,6,4You,Jesse Decelle,male,46
723,6,Hotel BP,Brasilia (DF),2,247.62,495.24,05/28/2020,6,4You,Jesse Decelle,male,46
739,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,09/17/2020,6,4You,Jesse Decelle,male,46
745,6,Hotel K,Salvador (BH),1,263.41,263.41,10/29/2020,6,4You,Jesse Decelle,male,46
746,6,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,11/05/2020,6,4You,Jesse Decelle,male,46
747,6,Hotel BD,Natal (RN),4,242.88,971.52,11/12/2020,6,4You,Jesse Decelle,male,46
749,6,Hotel A,Florianopolis (SC),2,313.02,626.04,11/26/2020,6,4You,Jesse Decelle,male,46
753,6,Hotel BP,Brasilia (DF),2,247.62,495.24,12/24/2020,6,4You,Jesse Decelle,male,46
754,6,Hotel BD,Natal (RN),2,242.88,485.76,12/31/2020,6,4You,Jesse Decelle,male,46
755,6,Hotel K,Salvador (BH),1,263.41,263.41,01/07/2021,6,4You,Jesse Decelle,male,46
762,6,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,02/25/2021,6,4You,Jesse Decelle,male,46
767,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,04/01/2021,6,4You,Jesse Decelle,male,46
778,7,Hotel AF,Sao Paulo (SP),3,139.1,417.3,11/21/2019,7,4You,Gregoria Gil,female,21
787,7,Hotel BW,Campo Grande (MS),1,60.39,60.39,01/23/2020,7,4You,Gregoria Gil,female,21
788,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,01/30/2020,7,4You,Gregoria Gil,female,21
793,7,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,03/05/2020,7,4You,Gregoria Gil,female,21
795,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,03/19/2020,7,4You,Gregoria Gil,female,21
803,7,Hotel BW,Campo Grande (MS),4,60.39,241.56,05/14/2020,7,4You,Gregoria Gil,female,21
805,7,Hotel Z,Aracaju (SE),2,208.04,416.08,05/28/2020,7,4You,Gregoria Gil,female,21
806,7,Hotel AU,Recife (PE),3,312.83,938.49,06/04/2020,7,4You,Gregoria Gil,female,21
808,7,Hotel BD,Natal (RN),3,242.88,728.64,06/18/2020,7,4You,Gregoria Gil,female,21
809,7,Hotel BP,Brasilia (DF),4,247.62,990.48,06/25/2020,7,4You,Gregoria Gil,female,21
812,7,Hotel BD,Natal (RN),2,242.88,485.76,07/16/2020,7,4You,Gregoria Gil,female,21
815,7,Hotel AU,Recife (PE),3,312.83,938.49,08/06/2020,7,4You,Gregoria Gil,female,21
817,7,Hotel BD,Natal (RN),2,242.88,485.76,08/20/2020,7,4You,Gregoria Gil,female,21
819,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,09/03/2020,7,4You,Gregoria Gil,female,21
823,8,Hotel K,Salvador (BH),4,263.41,1053.64,10/03/2019,8,4You,Jack Sabo,none,41
826,8,Hotel A,Florianopolis (SC),3,313.02,939.06,10/24/2019,8,4You,Jack Sabo,none,41
827,8,Hotel AU,Recife (PE),4,312.83,1251.32,10/31/2019,8,4You,Jack Sabo,none,41
830,8,Hotel BD,Natal (RN),4,242.88,971.52,11/21/2019,8,4You,Jack Sabo,none,41
834,8,Hotel BP,Brasilia (DF),2,247.62,495.24,12/19/2019,8,4You,Jack Sabo,none,41
836,8,Hotel AF,Sao Paulo (SP),1,139.1,139.1,01/02/2020,8,4You,Jack Sabo,none,41
838,8,Hotel BD,Natal (RN),1,242.88,242.88,01/16/2020,8,4You,Jack Sabo,none,41
840,8,Hotel Z,Aracaju (SE),1,208.04,208.04,01/30/2020,8,4You,Jack Sabo,none,41
852,8,Hotel A,Florianopolis (SC),1,313.02,313.02,04/23/2020,8,4You,Jack Sabo,none,41
857,8,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,05/28/2020,8,4You,Jack Sabo,none,41
861,8,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06/25/2020,8,4You,Jack Sabo,none,41
862,8,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/02/2020,8,4You,Jack Sabo,none,41
864,8,Hotel BP,Brasilia (DF),2,247.62,495.24,07/16/2020,8,4You,Jack Sabo,none,41
865,8,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/23/2020,8,4You,Jack Sabo,none,41
869,8,Hotel BP,Brasilia (DF),4,247.62,990.48,08/20/2020,8,4You,Jack Sabo,none,41
871,8,Hotel BD,Natal (RN),4,242.88,971.52,09/03/2020,8,4You,Jack Sabo,none,41
892,8,Hotel A,Florianopolis (SC),2,313.02,626.04,01/28/2021,8,4You,Jack Sabo,none,41
894,8,Hotel BP,Brasilia (DF),3,247.62,742.86,02/11/2021,8,4You,Jack Sabo,none,41
900,8,Hotel BD,Natal (RN),2,242.88,485.76,03/25/2021,8,4You,Jack Sabo,none,41
904,8,Hotel AU,Recife (PE),4,312.83,1251.32,04/22/2021,8,4You,Jack Sabo,none,41
907,8,Hotel AU,Recife (PE),3,312.83,938.49,05/13/2021,8,4You,Jack Sabo,none,41
911,8,Hotel BD,Natal (RN),4,242.88,971.52,06/10/2021,8,4You,Jack Sabo,none,41
913,8,Hotel A,Florianopolis (SC),1,313.02,313.02,06/24/2021,8,4You,Jack Sabo,none,41
